Product_name,Price,Rating,No_of_RnR,No_of_ratings,No_of_reviews,Brand,RAM,ROM,Battery,Display_Size,Camera
"OPPO K13 5G with 7000mAh and 80W SUPERVOOC Charger In-The-Box (Prism Black, 256 GB)",24999,4.4,"73,321 Ratings & 4,921 Reviews",73321,4921,OPPO,8 GB,256 GB ROM,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera
"Samsung Galaxy F36 5G (Violet, 128 GB)",22999,4.2,"5,689 Ratings & 419 Reviews",5689,419,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 8MP + 2MP | 13MP Front Camera
"OPPO Reno14 5G (Forest Green, 512 GB)",47999,4.5,"3,933 Ratings & 359 Reviews",3933,359,OPPO,12 GB,512 GB ROM,6000 mAh,6.59 inch,50MP + 8MP + 50MP | 50MP Front Camera
"realme P4 Pro 5G (Midnight Ivy, 128 GB)",28999,4.4,"18,342 Ratings & 1,484 Reviews",18342,1484,realme,8 GB,128 GB ROM,7000 mAh,6.8 inch,50MP + 8MP | 50MP Front Camera
"OnePlus Nord CE6 (Lunar Pearl, 128 GB)",37910,4.7,20 Ratings & 3 Reviews,20,3,OnePlus,8 GB,128 GB ROM,8000 mAh,6.78 inch,50MP Rear Camera | 2MP Front Camera
"Samsung M36 5G (Orange Haze / Orange, 128 GB)",22999,4.1,753 Ratings & 53 Reviews,753,53,Samsung,8 GB,128 GB ROM,5000 mAh,6.7 inch,50MP Rear Camera
"REDMI Note 15 5G (Mist Purple, 128 GB)",23899,4.3,585 Ratings & 27 Reviews,585,27,REDMI,8 GB,128 GB ROM,5520 mAh,6.77 inch,108MP Rear Camera
"Samsung Galaxy A17 5G Charger in the Box (Black, 128 GB)",20790,4.3,"1,052 Ratings & 73 Reviews",1052,73,Samsung,6 GB,128 GB ROM,5000 mAh,6.7 inch,50MP + 5MP + 2MP | 13MP Front Camera
"OPPO K13 5G SUPERVOOC (Prism Black, 128 GB)",22990,4.5,52 Ratings & 7 Reviews,52,7,OPPO,8 GB,128 GB ROM,7000 mAh,6.67 inch,50MP + 2MP | 16MP Front Camera
"OnePlus 13s 5G (Black Velvet, 256 GB)",50190,4.6,"1,813 Ratings & 141 Reviews",1813,141,OnePlus,12 GB,256 GB ROM,5850 mAh,6.32 inch,50MP Rear Camera
